Kategorie,AlterVSort,Anzahl,Herkunft,Geschlecht
1950,27,397,Ausland,Weiblich
1950,27,349,Schweiz,Männlich
1950,27,484,Ausland,Männlich
2017,27,458,Schweiz,Weiblich
2017,27,675,Ausland,Weiblich
2017,27,450,Schweiz,Männlich
2017,27,704,Ausland,Männlich
1900,28,2682,Schweiz,Weiblich
1900,28,2106,Ausland,Weiblich
1900,28,2552,Schweiz,Männlich
1900,28,2127,Ausland,Männlich
1950,28,379,Schweiz,Weiblich
1950,28,415,Ausland,Weiblich
1950,28,366,Schweiz,Männlich
1950,28,453,Ausland,Männlich
2017,28,344,Schweiz,Weiblich
2017,28,643,Ausland,Weiblich
2017,28,431,Schweiz,Männlich
2017,28,656,Ausland,Männlich
1900,29,2533,Schweiz,Weiblich
1900,29,2137,Ausland,Weiblich
1900,29,2629,Schweiz,Männlich
1900,29,2293,Ausland,Männlich
1950,29,332,Schweiz,Weiblich
1950,29,457,Ausland,Weiblich
1950,29,328,Schweiz,Männlich
1950,29,471,Ausland,Männlich
2017,29,304,Schweiz,Weiblich
2017,29,591,Ausland,Weiblich
2017,29,367,Schweiz,Männlich
2017,29,645,Ausland,Männlich
1900,30,2556,Schweiz,Weiblich
1900,30,2142,Ausland,Weiblich
1900,30,2498,Schweiz,Männlich
1900,30,2248,Ausland,Männlich
1950,30,295,Schweiz,Weiblich
1950,30,470,Ausland,Weiblich
1950,30,294,Schweiz,Männlich
1950,30,504,Ausland,Männlich
2017,30,275,Schweiz,Weiblich
2017,30,491,Ausland,Weiblich
2017,30,275,Schweiz,Männlich
2017,30,567,Ausland,Männlich
1900,31,2508,Schweiz,Weiblich
1900,31,2101,Ausland,Weiblich
1900,31,2423,Schweiz,Männlich
1900,31,2298,Ausland,Männlich
1950,31,270,Schweiz,Weiblich
1950,31,448,Ausland,Weiblich
1950,31,293,Schweiz,Männlich
1950,31,503,Ausland,Männlich
2017,31,234,Schweiz,Weiblich
2017,31,438,Ausland,Weiblich
2017,31,244,Schweiz,Männlich
2017,31,537,Ausland,Männlich
1900,32,2429,Schweiz,Weiblich
1900,32,2189,Ausland,Weiblich
1900,32,2458,Schweiz,Männlich
1900,32,2333,Ausland,Männlich
1950,32,277,Schweiz,Weiblich
1950,32,371,Ausland,Weiblich
1950,32,278,Schweiz,Männlich
1950,32,473,Ausland,Männlich
2017,32,198,Schweiz,Weiblich
2017,32,440,Ausland,Weiblich
2017,32,248,Schweiz,Männlich
2017,32,514,Ausland,Männlich
1900,33,2271,Schweiz,Weiblich
1900,33,2064,Ausland,Weiblich
1900,33,2438,Schweiz,Männlich
1900,33,2280,Ausland,Männlich
1950,33,255,Schweiz,Weiblich
1950,33,380,Ausland,Weiblich
1950,33,255,Schweiz,Männlich
1950,33,490,Ausland,Männlich
2017,33,173,Schweiz,Weiblich
2017,33,359,Ausland,Weiblich
2017,33,221,Schweiz,Männlich
2017,33,492,Ausland,Männlich
1900,34,2333,Schweiz,Weiblich
1900,34,2024,Ausland,Weiblich
1900,34,2343,Schweiz,Männlich
1900,34,2250,Ausland,Männlich
1950,34,220,Schweiz,Weiblich
1950,34,362,Ausland,Weiblich
1950,34,263,Schweiz,Männlich
1950,34,482,Ausland,Männlich
2017,34,124,Schweiz,Weiblich
2017,34,329,Ausland,Weiblich
2017,34,170,Schweiz,Männlich
